restaurant,item,calories,total_fat,protein,cholesterol,sodium,total_carb,sugar
Mcdonalds,Artisan Grilled Chicken Sandwich,380,7,37,95,1110,44,11
Mcdonalds,Single Bacon Smokehouse Burger,840,45,46,130,1580,62,18
Mcdonalds,Double Bacon Smokehouse Burger,1130,67,70,220,1920,63,18
Mcdonalds,Grilled Bacon Smokehouse Chicken Sandwich,750,31,55,155,1940,62,18
Mcdonalds,Crispy Bacon Smokehouse Chicken Sandwich,920,45,46,120,1980,81,18
Mcdonalds,Big Mac,540,28,25,80,950,46,9
Mcdonalds,Cheeseburger,300,12,15,40,680,33,7
Mcdonalds,Classic Chicken Sandwich,510,24,25,65,1040,49,6
Mcdonalds,Double Cheeseburger,430,21,25,85,1040,35,7
Mcdonalds,Double Quarter Pounder® with Cheese,770,45,51,175,1290,42,10
Mcdonalds,Filet-O-Fish®,380,18,15,40,640,38,5
Mcdonalds,Garlic White Cheddar Burger,620,34,32,95,790,48,11
Mcdonalds,Grilled Garlic White Cheddar Chicken Sandwich,530,20,42,125,1150,48,11
Mcdonalds,Crispy Garlic White Cheddar Chicken Sandwich,700,34,33,85,1190,67,11
Mcdonalds,Hamburger,250,8,13,30,480,31,6
Mcdonalds,Lobster Roll,290,5,24,65,630,35,3
Mcdonalds,Maple Bacon Dijon 1/4 lb Burger,640,36,37,110,1260,40,10
Mcdonalds,Grilled Maple Bacon Dijon Chicken Sandwich,580,21,48,135,1890,50,14
Mcdonalds,Crispy Maple Bacon Dijon Chicken Sandwich,740,35,39,95,1780,69,14
Mcdonalds,McChicken,350,15,15,40,600,40,5
Mcdonalds,McDouble,380,18,23,70,840,34,7
Mcdonalds,McRib,480,22,25,80,870,45,12
Mcdonalds,Pico Guacamole 1/4 lb Burger,580,33,29,95,920,41,7
Mcdonalds,Grilled Pico Guacamole Chicken Sandwich,520,18,40,115,1540,50,12
Mcdonalds,Crispy Pico Guacamole Chicken Sandwich,680,32,31,80,1430,69,12
Mcdonalds,Premium Buttermilk Crispy Chicken Deluxe Sandwich,570,23,28,60,1050,64,11
Mcdonalds,Premium Crispy Chicken Deluxe Sandwich,530,22,25,45,1000,59,13
Mcdonalds,Quarter Pounder® with Cheese,530,27,31,100,1090,41,10
Mcdonalds,Signature Sriracha Burger,670,35,32,95,1010,56,13
Mcdonalds,Grilled Signature Sriracha Chicken Sandwich,560,20,41,115,1550,56,14
Mcdonalds,Crispy Signature Sriracha Chicken Sandwich,730,33,32,80,1430,75,13
Mcdonalds,Sweet BBQ Bacon 1/4 lb Burger,690,37,38,110,1310,51,14
Mcdonalds,Grilled Sweet BBQ Bacon Chicken Sandwich,630,22,48,135,1930,61,18
Mcdonalds,Crispy Sweet BBQ Bacon Chicken Sandwich,800,36,39,95,1820,80,18
Mcdonalds,3 piece Buttermilk Crispy Chicken Tenders,370,21,28,70,910,16,0
Mcdonalds,4 piece Buttermilk Crispy Chicken Tenders,480,28,38,95,1290,21,1
Mcdonalds,6 piece Buttermilk Crispy Chicken Tenders,760,44,58,145,1890,32,1
Mcdonalds,10 piece Buttermilk Crispy Chicken Tenders,1210,70,94,240,3230,52,4
Mcdonalds,12 piece Buttermilk Crispy Chicken Tenders,1510,88,115,295,3770,64,2
Mcdonalds,20 piece Buttermilk Crispy Chicken Tenders,2430,141,186,475,6080,103,3
Mcdonalds,4 Piece Chicken McNuggets,180,11,10,30,340,11,0
Mcdonalds,6 Piece Chicken McNuggets,270,16,15,45,510,16,0
Mcdonalds,10 Piece Chicken McNuggets,440,27,24,75,840,26,0
Mcdonalds,20 Piece Chicken McNuggets,890,53,49,145,1680,53,0
Mcdonalds,40 piece Chicken McNuggets,1770,107,98,295,3370,105,1
Mcdonalds,4 piece Sweet N' Spicy Honey BBQ Glazed Tenders,640,27,39,105,1780,63,35
Mcdonalds,6 piece Sweet N' Spicy Honey BBQ Glazed Tenders,960,40,58,160,2670,94,52
Mcdonalds,10 piece Sweet N' Spicy Honey BBQ Glazed Tenders,1600,66,97,265,4450,156,87
Mcdonalds,Premium Asian Salad w/o Chicken,140,7,7,0,20,13,7
Mcdonalds,Premium Asian Salad w/ Grilled Chicken,270,9,31,80,740,18,10
Mcdonalds,Premium Asian Salad w/ Crispy Chicken,490,28,33,95,1120,28,4
Mcdonalds,Premium Bacon Ranch Salad w/o Chicken,190,12,14,40,660,9,3
Mcdonalds,Premium Bacon Ranch Salad w/ Grilled Chicken,320,14,42,45,1230,9,4
Mcdonalds,Premium Bacon Ranch Salad w/ Crispy Chicken,490,28,33,95,1120,28,4
Mcdonalds,Premium Southwest Salad w/o Chicken,220,10,8,15,500,26,9
Mcdonalds,Premium Southwest Salad w/ Grilled Chicken,350,12,37,110,1070,27,9
Mcdonalds,Premium Southwest Salad w/ Crispy Chicken,520,25,28,75,960,46,9
Chick Fil-A,Chargrilled Chicken Club Sandwich,430,16,37,85,1120,37,7
Chick Fil-A,Chargrilled Chicken Sandwich,310,6,29,55,820,36,7
Chick Fil-A,Chick-n-Slider,270,11,16,45,800,26,4
Chick Fil-A,1 Piece Chick-n-Strips,120,6,11,25,320,6,1
Chick Fil-A,2 Piece Chick-n-Strips,230,12,22,55,630,13,1
Chick Fil-A,3 Piece Chick-n-Strips,350,17,28,70,940,22,3
Chick Fil-A,4 piece Chick-n-Strips,470,23,37,90,1250,29,4
Chick Fil-A,Chicken Deluxe,500,23,31,75,1590,42,6
Chick Fil-A,4 piece Chicken Nuggets,130,6,14,40,490,5,0
Chick Fil-A,6 piece Chicken Nuggets,190,9,21,55,730,7,0
Chick Fil-A,8 piece Chicken Nuggets,260,12,28,70,990,9,1
Chick Fil-A,12 piece Chicken Nuggets,390,18,41,115,1460,14,1
Chick Fil-A,30 piece Chicken Nuggets,970,46,103,285,3660,35,1
Chick Fil-A,Chicken Salad Sandwich,490,19,28,80,1130,55,12
Chick Fil-A,Chicken Sandwich,440,19,28,60,1350,40,5
Chick Fil-A,4 Piece Grilled Chicken Nuggets,70,2,13,35,220,1,0
Chick Fil-A,6 Piece Grilled Chicken Nuggets,110,3,19,50,330,2,0
Chick Fil-A,8 piece Grilled Chicken Nuggets,140,4,25,70,440,2,0
Chick Fil-A,12 Piece Grilled Chicken Nuggets,210,5,38,100,670,3,1
Chick Fil-A,Spicy Grilled Chicken Sub Sandwich,430,12,33,85,1310,47,9
Chick Fil-A,Regular Grilled Chicken Sub Sandwich,450,13,34,75,1000,48,10
Chick Fil-A,Smokehouse BBQ Bacon Sandwich,500,18,33,95,1200,46,10
Chick Fil-A,Spicy Chicken Sandwich,450,19,29,60,1620,41,5
Chick Fil-A,Spicy Deluxe,540,25,34,80,1760,43,6
Chick Fil-A,Chargrilled Chicken Cool Wrap,350,14,37,60,960,29,3
Chick Fil-A,Chicken Enchiladas Meal Kit,860,47,39,100,2520,70,8
Chick Fil-A,Chicken Parmesan Meal Kit,720,31,48,120,1780,65,7
Sonic,Hatch Green Chile Cheeseburger,710,43,35,120,1120,44,7
Sonic,Jalapeno Burger,640,37,31,100,930,42,6
Sonic,Jr. Burger,340,17,15,35,640,34,6
Sonic,Jr. Chili Cheeseburger,410,24,20,55,730,32,4
Sonic,Jr. Deluxe Burger,380,23,15,40,470,32,4
Sonic,Jr. Deluxe Cheeseburger,450,28,19,60,800,33,4
Sonic,Jr. Double Cheeseburger,600,38,31,110,1350,35,7
Sonic,Sonic Bacon Cheeseburger (w/mayo),870,59,39,140,1350,45,7
Sonic,Sonic Burger W/ Mustard,640,37,31,100,790,43,7
Sonic,Sonic Burger W/ Ketchup,650,37,32,100,860,46,10
Sonic,Sonic Burger W/ Mayonnaise,740,48,31,110,760,44,7
Sonic,Sonic Cheeseburger W/ Mustard,710,43,35,120,1120,43,7
Sonic,Sonic Cheeseburger W/ Ketchup,720,43,35,120,1190,47,10
Sonic,Sonic Cheeseburger W/ Mayonnaise,800,54,35,130,1090,44,7
Sonic,Super Sonic Bacon Double Cheeseburger (w/mayo),1280,92,67,260,1630,44,7
