city,latitude,longitude,name,province
Thibodaux,29.814697,-90.814742,Sonic,LA
Thibodaux,29.814697,-90.814742,Sonic,LA
Pigeon Forge,35.803788,-83.580553,Taco Bell,TN
Pigeon Forge,35.782339,-83.551408,Arbys,TN
Detroit,42.416819,-83.180444,Burger King,MI
Monahans,31.580721,-102.891455,Dairy Queen,TX
Mabank,32.36602,-96.103364,Dairy Queen,TX
Missouri City,29.570079,-95.568166,Dairy Queen,TX
Schenectady,42.79792,-73.924364,Mcdonalds,NY
Kingston,41.967079,-73.988583,Mcdonalds,NY
New York,40.757558,-73.981671,Mcdonalds,NY
New York,40.718943,-73.988306,Mcdonalds,NY
Uniondale,40.709646,-73.591453,Mcdonalds,NY
Jericho,40.780233,-73.55934,Mcdonalds,NY
Jericho,40.780233,-73.55934,Mcdonalds,NY
Albany,42.716812,-73.809319,Mcdonalds,NY
Bronx,40.839569,-73.915927,Mcdonalds,NY
Schenectady,42.741061,-73.913673,Mcdonalds,NY
Buffalo,42.857899,-78.825089,Mcdonalds,NY
Tonawanda,43.021019,-78.878167,Mcdonalds,NY
Woburn,42.503903,-71.132748,Mcdonalds,MA
Whitinsville,42.125526,-71.645913,Mcdonalds,MA
Wilmington,42.557448,-71.181499,Mcdonalds,MA
Webster,42.055826,-71.873999,Mcdonalds,MA
Waltham,42.376247,-71.241667,Mcdonalds,MA
Townsend,42.650503,-71.662674,Mcdonalds,MA
Walpole,42.157222,-71.243549,Mcdonalds,MA
Taunton,41.88896,-71.120789,Mcdonalds,MA
Springfield,42.12193,-72.584242,Mcdonalds,MA
Springfield,42.091561,-72.579647,Mcdonalds,MA
Springfield,42.111552,-72.603359,Mcdonalds,MA
Springfield,42.095053,-72.512539,Mcdonalds,MA
Springfield,42.142989,-72.48923,Mcdonalds,MA
Spencer,42.23341,-72.012516,Mcdonalds,MA
Spencer,42.23341,-72.012516,Mcdonalds,MA
Wylie,33.007329,-96.554127,Taco Bell,TX
Tyler,32.274786,-95.306757,Taco Bell,TX
Columbia,38.964944,-92.336364,Burger King,MO
Danvers,42.547923,-70.942014,Burger King,MA
Ravenna,41.157059,-81.219054,Mcdonalds,OH
El Cajon,32.739923,-116.942156,Burger King,CA
El Cajon,32.805945,-116.971542,Burger King,CA
Encinitas,33.051949,-117.260994,Burger King,CA
Cypress,29.88081,-95.683922,Burger King,TX
Cypress,29.88081,-95.683922,Burger King,TX
Chula Vista,32.646857,-116.967527,Arbys,CA
Chico,39.76117,-121.842187,Burger King,CA
Capitola,36.975287,-121.963929,Mcdonalds,CA
Bishop,37.365314,-118.39508,Mcdonalds,CA
Americus,32.07128,-84.216974,Mcdonalds,GA
Anderson,34.54701,-82.6319,Burger King,SC
Cedartown,34.017911,-85.253614,Mcdonalds,GA
Glastonbury,41.726353,-72.617608,Burger King,CT
Campbellsville,37.346447,-85.337368,Mcdonalds,KY
Campbellsville,37.357213,-85.323654,Subway,KY
Fairfield,38.259527,-122.062146,Burger King,CA
Ashland,38.3887,-82.7156,Dairy Queen,KY
Brooksville,28.534187,-82.516103,Arbys,FL
Hobe Sound,27.06168,-80.13746,Mcdonalds,FL
Hialeah,25.867613,-80.266376,Burger King,FL
Haines City,28.125757,-81.64043,Dairy Queen,FL
DeFuniak Springs,30.68782,-86.12318,Mcdonalds,FL
DeFuniak Springs,30.70032,-86.12317,Sonic,FL
Estero,26.432003,-81.789408,Arbys,FL
